companies.name,companies.category_code,companies.description,companies.founded_year,companies.number_of_employees,companies.total_money_raised,city,description,address1,address2,longitude,country_code,latitude,state_code,zip_code
Allen Brothers,hospitality,,,,$7.1M,Chicago,,3737 South Halsted Street,,,USA,,IL,60609
Allmusic.fm,mobile,Broadcast live Mobile Music Concerts ,2012.0,2.0,$0,Chicago,Chicago Office,"1046 West Kinzie Street, Suite 300 - #304",,,USA,,IL,60642
AllPrecise HVAC,local,Chicago's top HVAC company.,,22.0,$0,Chicago,AllPrecise HVAC,2617 West,43rd Street,-87.6194642,USA,41.8891326,IL,60632
Allscripts,software,health industry software,1986.0,,$0,Chicago,HQ,222 Merchandise Mart Plaza,Suite 2024,,USA,,IL,60654
Alltuition,finance,Higher ed finance,2010.0,8.0,$4.02M,Chicago,,,,-87.62979820000001,USA,41.8781136,IL,
Altair Prep,education,Adaptive Test Prep Plat,2011.0,15.0,$0,Chicago,,,,,USA,,IL,
American Kidz Academy,education,preschool,,,$0,Chicago,Lincoln Park,1932 N Clark Ave,,,USA,,IL,60614
American Kidz Academy,education,preschool,,,$0,Chicago,River North,430 W Erie St,,,USA,,IL,60654
American Medical Association,education,,,,$0,Chicago,,515 N. State Stree,,-87.6277232,USA,41.8912515,IL,60654
amSTATZ,web,Heath and Fitness ,2012.0,10.0,$0,Chicago,,2551 north Clark Steet,Suite 402,,USA,,IL,60614
Analyte Health,medical,,2007.0,,$34M,Chicago,,328 South Jefferson Street,Suite 770,,USA,,IL,60661
AnswerOil,public_relations,,,,$0,Chicago,,852 S. Park Terrace,,-87.629552,USA,41.8710347,IL,60605
AnswersMedia,other,Video Production,2004.0,5.0,$0,Chicago,,30 N Racine,,-87.6567113,USA,41.8823048,IL,60607
ANW Transitional,consulting,Real Estate Referral,2010.0,30.0,$0,Chicago,World Headquarters,11722 S. Prairie,,,USA,,IL,60628
Aon Corporation,consulting,,,,$0,Chicago,,200 East Randolph St,,,USA,,IL,60601
Apartment Number 9,fashion,Men's Fashion,2001.0,5.0,$0,Chicago,Chicago Office,1804 North Damen Ave.,,,USA,,IL,60647
Apartments.com,web,,1992.0,230.0,$0,Chicago,,175 West Jackson,8th floor,-87.63319200000001,USA,41.877493,IL,60604
Apollo Data Technologies,software,,,,$0,Chicago,,325 W. Huron Street,Suite 815,,USA,,IL,60654
Appatista,mobile,App Creation Service,,,$0,Chicago,,,,,USA,,IL,
Applimation,enterprise,Enterprise data management,1998.0,,$4M,Chicago,,525 West Monroe,Suite 1510,-87.64037900000001,USA,41.880225,IL,60661
Appolicious,mobile,Mobile Application Finder,2009.0,,$2.57M,Chicago,Appolicious HQ,"225 West Washington Ave., Suite 1500",,,USA,,IL,60606
appssavvy,advertising,activity advertising technology company,2008.0,20.0,$10.2M,Chicago,Chicago Office,115 South LaSalle,Suite 2600,,USA,,IL,60603
appWOZ,mobile,We Create Awesome Mobile Apps!,2011.0,51.0,$0,Chicago,USA Office,1430 N. Oakmont Rd,Hoffman Estates,,USA,,IL,60169
Aquarius Biotechnologies,biotech,,2013.0,,$327k,Chicago,,2037 West Carroll Avenue,,,USA,,IL,60612
Aqueity,network_hosting,Chicago IT Support Services Company,1996.0,20.0,$0,Chicago,Chicago Office,500 North Michigan Avenue,Suite 600,,USA,,IL,60611
Arc Worldwide,,,,,$0,Chicago,,35 West Wacker,15th Floor,,USA,,IL,60601
ArchLive TV,games_video,Internet Television,2013.0,,$0,Chicago,HQ,1644 N. Honore Suite 105,,,USA,,IL,60622
AREVS,software,Home Energy Performance Tools,2012.0,4.0,$100k,Chicago,Chicago Office,,,-87.6359125,USA,41.9028369,IL,60610
Argo Navis Consulting,news,,2010.0,,$179k,Chicago,,,5050 South Lake Shore Drive,,USA,,IL,60615
Argo Tea,hospitality,,2003.0,,$2.32M,Chicago,,16 West Randolph St,,,USA,,IL,60601
Arroweye Solutions,enterprise,Technology-enabled Marketing Services,1999.0,,$14M,Chicago,Headquarters,549 W Randolph St,Suite 200,-87.641671,USA,41.88415,IL,60661
ArrowStream,,Supply Chain and Logistics Solutions,,,$0,Chicago,ArrowStream Offices,231 South LaSalle Street,Suite 1700,,USA,,IL,60604
Ars Technica,web,Technology News Site,1998.0,,$0,Chicago,,,,-87.624333,USA,41.879535,IL,
ArtistData,software,Musician's Syndication Platform,2006.0,4.0,$0,Chicago,,"200 S Wacker, 15th Floor",,,USA,,IL,60614
AskEachOther.com,web,#1 Social Polling Website,2008.0,9.0,$0,Chicago,Headquarters,1 S. Leavitt St.,Suite #306,,USA,,IL,60612
AskForEducation,education,Education ReInvented!,2011.0,6.0,$0,Chicago,AskForEducation,550 North Michigan Ave,,-87.6242909,USA,41.8918857,IL,60611
Aspex Solutions,software,Cloud Talent Management Solutions,1998.0,40.0,$0,Chicago,Corporate Office,8725 W. Higgins,Suite 325,,USA,,IL,60631
Atlantic Metro Communications,network_hosting,Reliable Internet & Managed Hosting,2004.0,28.0,$0,Chicago,ORD3,725 S. Wells Ave,,,USA,,IL,60607
Atlantic Metro Communications,network_hosting,Reliable Internet & Managed Hosting,2004.0,28.0,$0,Chicago,ORD0 & ORD1,350 East Cermak Road,,,USA,,IL,60616
Atlas Corporate Housing,other,Corporate Housing Services,2012.0,9.0,$0,Chicago,Atlas of Chicago,425 Cherry Street,,,USA,,IL,60606
AtomicOnline,web,A diversified online media company,2004.0,110.0,$0,Chicago,Chicago Office,33 N. Dearborn,Suite 1200,,USA,,IL,60602
AttorneyFee,legal,Price comparison for consumer legal,2011.0,20.0,$250k,Chicago,Chicago,820 West Jackson,Suite 225,-87.648055,USA,41.8783109,IL,606
Audio Eye,software,Online Content Publication Software,2003.0,,$0,Chicago,,"875 North Michigan Avenue,Suite 2626",,,USA,,IL,60611
Auris Medical,medical,,2003.0,,$60.7M,Chicago,,500 North Michigan Ave,Suite 600,,USA,,IL,60611
Authentify,,,1999.0,,$0,Chicago,,"8745 West Higgins Road, Suite 240",,,USA,,IL,60631
AvantCredit,finance,Near-prime fin-tech startup,2012.0,25.0,$59M,Chicago,U.S Headquarters,640 N. Lasalle St. #535,,,USA,,IL,60654
AVIA,health,provider-formed innovation accelerator,2012.0,10.0,$0,Chicago,,4043 N. Ravenswood Avenue,Suite 306,,USA,,IL,60613
Azadi,other,Social venture empowering women.,2012.0,7.0,$0,Chicago,Impact Engine,222 Merchandise Mart Plaza,12th Floor,-87.63651309999999,USA,41.8883776,IL,60654
BabbaCo,ecommerce,,2007.0,13.0,$1.23M,Chicago,,Elston Ave,,,USA,,IL,60630
Backstop Solutions Group,software,Software for Alternative Asset Managers,2003.0,65.0,$0,Chicago,Headquarters,233 S Wacker Dr,Suite 3960,,USA,,IL,60606
BAM Studios,games_video,Audio Post Production,1999.0,6.0,$0,Chicago,BAM Studios,One East Erie Street,Suite 350,-87.627423,USA,41.893622,IL,60611
Base CRM,software,Post-PC CRM and Sales Productivity,2009.0,,$7.9M,Chicago,,"212 W. Superior, Suite 200",,,USA,,IL,60654
BayesCamp,education,Data science bootcamp,2013.0,,$0,Chicago,HQ,,,,USA,,IL,
BCKSTGR,games_video,Marketing Technology Platform,2011.0,7.0,$1.95M,Chicago,Headquarters,,,,USA,,IL,
BCN Communications,,Print and Web Design,,,$0,Chicago,,900 North Franklin Street,Suite 402,,USA,,IL,60610
BCV,social,Hospitality Social Media Provider,,40.0,$0,chicago,Headquarters,223 W Erie St,,,USA,,IL,60654
Beacify,mobile,iBeacon Proximity Platform,2013.0,5.0,$0,Chicago,Chicago HQ,,,,USA,,IL,
beBetter Health,health,,1999.0,,$1.61M,Chicago,,325 W. Huron St.,Suite 711,-87.636668,USA,41.894532,IL,60654
Beer Universe,web,Beer social network,2008.0,3.0,$0,Chicago,,918 W Belmont Ave.,Suite #201,-78.922055,USA,36.009825,IL,60657
BelforFx,enterprise,global financial services organization,,,$0,Chicago,Chicago,"200 South Wacker Drive, 31st Floor, Chicago, Illinois, 60606",,,USA,,IL,
BellaDati,analytics,Agile data analytics BI,2012.0,30.0,$3M,Chicago,US Headquarters,444 N. Wabash Ave.,,,USA,,IL,60611
Belly,advertising,Digital Loyalty For SMB's,2011.0,100.0,$25M,Chicago,,600 W Chicago St,,-87.6435474,USA,41.8969173,IL,60654
BenchPrep,education,"Innovative, cross-platform test prep",2010.0,20.0,$7.8M,Chicago,,600 W Chicago Ave,Suite 700,,USA,,IL,60654
Best Online Universities,education,Connecting students and online colleges,2010.0,10.0,$0,Chicago,Main Office,2551 N Clark St,Ste 400,,USA,,IL,60614
Better Click Media,enterprise,Boost Online Conversion,2002.0,,$0,Chicago,,917 W. Washington Blvd. Suite 164,,,USA,,IL,60607
Better Weekdays,,,,,$0,Chicago,,"222 Merchandise Mart Plaza,",Suite 1212,-87.63651309999999,USA,41.8883776,IL,Chicago
BidClerk,other,,1996.0,8.0,$0,Chicago,,28 N. Clark St.,Suite 450,,USA,,IL,60602
BigMarker,public_relations,Create online communities,2010.0,10.0,$0,Chicago,Headquarters,321 N Clark,,,USA,,IL,60654
BigTime Software,software,time and billing software,2002.0,,$2.7M,Chicago,,1 S. Wacker,Suite 2900,,USA,,IL,60606
Billups Design,advertising,Chicago Digital Creative Agency,2003.0,12.0,$0,Chicago,Billups Design Chicago,650 W Lake St,Ste 330,,USA,,IL,60661
Binary Mechanics,software,Binary Mechanics,2013.0,3.0,$0,Chicago,,,,,USA,,IL,
Binkabox,ecommerce,A Monthly Box of Childrens' Delights,2013.0,,$0,Chicago,Headquarters,,,,USA,,IL,
BiOWiSH,biotech,,2007.0,,$13.9M,Chicago,,150 N Michigan Ave,Suite 2800,-87.62485720000001,USA,41.8846119,IL,60601
Bit Studios,,,,,$0,Chicago,,225 W. Washington St.,Suite 2200,,USA,,IL,60606
Bitesize PR,public_relations,PR for small businesses,,5.0,$0,Chicago,HQ,"1608 N Milwaukee, Suite 707",,,USA,,IL,60647
bizHive,advertising,Marketing Marketplace for Small Biz,2012.0,10.0,$450k,Chicago,Offices,63 E. lake Street,,,USA,,IL,60601
Bizy LLC,ecommerce,BtoB deal site,2011.0,,$0,Chicago,HQ,233 North Michigan Avenue,30th Floor,,USA,,IL,60601
Black Card Media,advertising,,2008.0,,$50k,Chicago,,2130 W. Potomac,,,USA,,IL,60622
BLiNQ Media,advertising,Social Media Advertising and Technology ,2008.0,55.0,$6.6M,Chicago,BLiNQ Media Chicago,"444 North Wells Street, Suite 402",,,USA,,IL,60654
Blitsy,ecommerce,Ecommerce / Arts & Crafts,2011.0,10.0,$1.01M,Chicago,Blitsy,2114 W Grand Ave #3A,,,USA,,IL,60612
Blog Into Book,ecommerce,Turning Bloggers into Authors,2013.0,1.0,$0,Chicago,1871,222 W. Merchandise Mart Plaza,Suite #1212,,USA,,IL,60654
Blue Soda Promo,advertising,Custom Promotional Products,,,$0,Chicago,Chicago,,,,USA,,IL,
Blueprint Design Studio,public_relations,,2006.0,10.0,$0,Chicago,Corporate Headquarters,435 N Michigan Ave,,-87.626777,USA,41.886511,IL,60611
Blueye,software,Social Media Technology Company,2005.0,18.0,$0,Chicago,Chicago Office,1321 N Wood Street,,,USA,,IL,60622
Boeing,other,airplane manufacturer,,160000.0,$0,Chicago,Corporate Headquarters,100 North Riverside,,-87.638807,USA,41.883195,IL,60606-1596
Boomerang.com,web,Social Travel,2009.0,5.0,$1.56M,Chicago,HQ,,,,USA,,IL,60654
BPOVIA Virtual Assistant Service,ecommerce,,2007.0,50.0,$0,Chicago,United States Headquarter,500 E 33rd St,Suite 205,118.78333300000001,USA,32.041667,IL,210005
Brafton,enterprise,Content Marketing Agency,2008.0,200.0,$0,Chicago,Central,444 N Orleans Street,,,USA,,IL,60654
Braintree,software,online and mobile payment processing,2007.0,100.0,$69M,Chicago,"Chicago, IL",111 N. Canal,4th floor,,USA,,CA,60606
Brainvire Infotech Pvt Ltd,consulting,Shaping Ideas,2012.0,300.0,$0,Chicago,lllinois | USA Office,"1255 S State St. # 906,",,,USA,,IL,60605
Branchbird,consulting,Big Data Analytics,2012.0,8.0,$0,Chicago,Chicago,222 W Merchandise Mart Plaza,Suite 1212,-87.6371254,USA,41.8888128,IL,60654
Branchfire,software,next generation productivity,2011.0,20.0,$0,Chicago,Main Office,,,,USA,,IL,60661
Brandmuscle,advertising,Distributed Marketing Management,2000.0,550.0,$0,Chicago,Chicago (HQ),233 S. Wacker Dr.,Suite 4400,-87.636553,USA,41.8788344,IL,60606
Brickfish,software,Social Media Marketing,2005.0,30.0,$940k,Chicago,Corporate Office,"180 N Stetson Ave, 43 Floor",Two Prudential Plaza,-87.62231829999999,USA,41.8851542,IL,60601
BridgePort Networks,software,,2002.0,,$13M,Chicago,,180 North Stetson Avenue,"Two Prudential Plaza, 40th Floor",,USA,,IL,60601
BrightRoll,advertising,Online Video Advertising Network,2006.0,,$46M,Chicago,Chicago Office,545 N. Dearborn Street,Suite #2801,,USA,,IL,60610
BrightTag,enterprise,"Tag management, integration platform",2009.0,,$50M,Chicago,Chicago,150 N. Wacker Drive,Suite 1950,,USA,,IL,60606
Brill Street + Company,other,Gen Y Recruitment Firm,2006.0,10.0,$1.29M,Chicago,,325 West Huron,Suite 400,,USA,,IL,
BrokerSavant,software,CRE Property Index Solutions,,10.0,$0,Chicago,,,,,USA,,IL,
Bromance,mobile,Location-based social network,2011.0,4.0,$0,Chicago,Headquarters,,,,USA,,IL,60657
BucketFeet,ecommerce,Globally inspired [footwear],2011.0,2.0,$2.16M,Chicago,,,,,USA,,IL,
BudgetVM,network_hosting,Web Hosting Services,2007.0,14.0,$0,Chicago,BudgetVM Chicago,350 E Cermak Street,,-87.61862430000001,USA,41.8530537,IL,60616
BugPub,software,Professional Worldwide CrowdTesting,2011.0,3.0,$0,Chicago,HQ,"200 S. Wacker Drive, 15th Floor",,,USA,,IL,60606
Built In Chicago,web,Online community for startups,2010.0,3.0,$0,chicago,,222 west hubbard st 2nd floor,,,USA,,IL,60654
Business Logic Corporation,software,Online Investment Solutions,1997.0,30.0,$0,Chicago,Headquarters,,,-87.62979820000001,USA,41.8781136,IL,
Business Traveler Social,web,Social Travel Application,2010.0,4.0,$0,Chicago,Headquarters,1016 W Jackson,,-87.6528348,USA,41.8778736,IL,60607
Business-Software.com,software,Online resource for Business Technology,2006.0,25.0,$0,Chicago,Chicago,79 W Monroe,Suite 824,,USA,,IL,60603
BusinessOpportunity.com,other,Business Opportunity Resource,2004.0,,$0,Chicago,Corporate Headquarters,720 N. Franklin St.,Ste 300,,USA,,IL,60654
Buzz Referrals,advertising,Referral Program Software,,,$700k,Chicago,,,,,USA,,IL,
Buzzing Niches,ecommerce,Niche Article Directory,2009.0,3.0,$0,Chicago,,,,,USA,,IL,60626
Buzzqrowd,mobile,Connect with QR codes,2011.0,2.0,$0,Chicago,Chicago,208 West Washington Street,Apt 907,,USA,,IL,60606
Bytesflow,software,Mobile Application Development Company,2008.0,30.0,$0,Chicago,Bytesflow Inc,,,,USA,,IL,
Cadmeleon,consulting,Energy Efficiency Software,,,$0,Chicago,Chicago Office,2310 W. Giddings,,,USA,,IL,60625
cago,public_relations,,2008.0,3.0,$0,Chicago,Chicago,,,-87.624333,USA,41.879535,IL,
Calculated Risk Advisors,consulting,Boutique insurance brokerage,2012.0,6.0,$0,Chicago,Headquarters,500 N. Michigan Ave.,Suite 300,-87.6244703,USA,41.8911104,IL,60611
Campus Special,advertising,"Print, Mobile, and Online Marketing",2005.0,500.0,$0,Chicago,Food Court Office,,,,USA,,IL,
CancerIQ,analytics,Personalized Cancer Care,2013.0,,$0,Chicago,,"222 W Merchandise Mart, Suite #1212",,,USA,,IL,
CANDID Cup,analytics,Real-Time Market Research,,,$0,Chicago,Office,,,,USA,,IL,
Canvas Chicago,other,We make ideas happen.,2012.0,3.0,$0,Chicago,HQ,W North Ave,,,USA,,IL,60647
"Capacitr, Inc.",other,Chicago Web Design Company,2009.0,4.0,$0,Chicago,"Capacitr, Inc. HQ",700 N. Green St Suite 500,,,USA,,IL,60647
CapAlly,other,EPM,2007.0,4.0,$0,Chicago,,,,-87.64354499999999,USA,41.882865,IL,60661
Cardinal X,,,,,$0,Chicago,Cardinal X Inc,"233 S. Wacker Drive, 84th Floor",,,USA,,IL,60606
CareerBuilder,web,human capital solutions,1998.0,,$0,Chicago,Corporate Headquarters,200 N. LaSalle St,Suite 1100,-87.63251899999999,USA,41.889183,IL,60601
Caremerge,enterprise,Care Coordination Platform,2010.0,8.0,$2.1M,Chicago,Headquarter,222 W. Merchandise Mart Plaza,12th Floor,,USA,,IL,60654
CareXtend,health,Health and wellness marketplace,2012.0,,$1.21M,Chicago,,,,-87.62979820000001,USA,41.8781136,IL,
Caris Pregnancy Counseling & Resources,medical,Free Pregnancy Tests,,,$0,Chicago,,111 N. Wabash Avenue,Suite 1501,,USA,,IL,60602
Cars.com,ecommerce,Search for and sell new and used cars,1998.0,800.0,$0,Chicago,,175 W. Jackson Blvd.,Suite 800,,USA,,IL,60604
Cashier Live,enterprise,Web-based Point of Sale,2009.0,8.0,$200k,Chicago,Chicago Headquarters,330 W. Erie,,,USA,,IL,60654
Cassona,other,Home Furnishings & Accessories,1996.0,,$0,Chicago,Office,5241 North Clark Street,,,USA,,IL,60640
Castle Rock Innovations,software,,,,$1.3M,Chicago,,216 South Jefferson Street,Suite 601,,USA,,IL,60661
Catalyst Fire,software,Software Development Company,2011.0,,$0,Chicago,main,1250 S Michigan Ave,Suite 1410,,USA,,IL,60605
CCC Information Services,,,,,$0,Chicago,,222 Merchandise Mart Plaza,Suite 900,-87.6354249,USA,41.8879194,IL,60654
CELLTRADEin,mobile,Cell Phone Sustainability,,4.0,$0,Chicago,Headquarters,815 N. Marshfield Ave.,,,USA,,IL,60622
Centiv Services,,,2001.0,,$0,Chicago,,233 South Wacker Drive,Suite 4400,,USA,,IL,60606
Central Standard Timing,hardware,World's Thinnest Watch,2012.0,,$0,Chicago,,,,-87.62979820000001,USA,41.8781136,IL,
Centro,advertising,Powering Modern Media,2001.0,300.0,$22.5M,Chicago,HQ,222 W Hubbard St.,Suite 400,-87.6355433,USA,41.889853,IL,60654
CentUp,news,Reward your favorite creators and make t,2012.0,5.0,$0,Chicago,,,,-87.62979820000001,USA,41.8781136,,
CEpath,education,Continuing education tracking ,,2.0,$0,Chicago,,,,,USA,,IL,
Cerrio,software,Real-Time Developement Platform (PaaS),2011.0,4.0,$0,Chicago,,440 S. LaSalle St.,Suite #650,,USA,,IL,60605
CFN Services,public_relations,Network Integrator Innovator,2001.0,40.0,$0,Chicago,Chicago,30 S. Wacker,22nd Floor,,USA,,IL,60606
Channel Clarity,advertising,Online Marketing Network,2005.0,,$0,Chicago,,215 W. Ohio Street 6th Floor,,,USA,,IL,60654
Channel IQ,software,Online pricing intelligence leaders,2009.0,80.0,$12M,Chicago,Global Headquarters,350 W. Ontario Street,6th & 7th Floors,,USA,,IL,60654
Channel Navigator,search,IT Solution Provider Database,2012.0,5.0,$0,Chicago,HQ,2848 W Leland,,-87.700464,USA,41.966897,IL,60625
Chicago Academic,education,Tutoring and exam preparation services,,,$0,Chicago,Office,1017 W. Washington Blvd,Suite 2A,,USA,,IL,60607
Chicago Blackhawks,sports,,1926.0,,$0,Chicago,,,,,USA,,IL,
Chicago Flowers,other,Let them feel your presence. Click on CH,,,$0,Chicago,,22 West Washington Street #1500,,,USA,,IL,60602
Chicago Ideas Week,,,,,$0,Chicago,,,600 West Chicago,-87.6359125,USA,41.8929153,IL,60654
Chicago magazine,advertising,,,,$0,Chicago,,435 N. Michigan Ave,Suite 1100,-87.623333,USA,41.890345,IL,60611
Chicago Portfolio School,education,,,,$0,Chicago,,,25 West Hubbard St.,-87.6359125,USA,41.8929153,IL,60654
Chicago Public Schools,education,,,,$0,Chicago,,,125 S. Clark Street,,USA,,IL,60603
Chicago School Reviews,education,Reviewing Chicago Area Colleges,2011.0,5.0,$0,Chicago,Chicago School Reviews,300 N LaSalle,,,USA,,IL,60654
Chicago Stock Exchange,,,1882.0,,$0,Chicago,HQ,440 South LaSalle Street,One Financial Place,,USA,,IL,60605-1070
Chicago Style SEO,search,SEO Internet marketing company,2009.0,4.0,$0,Chicago,Main Office,2020 Lincoln Park West,#3,,USA,,IL,60614
Chicago Sun-Times,advertising,,,,$0,Chicago,,350 N. Orleans St.,10th Floor,,USA,,IL,60654
Chicago Tech Support,consulting,"SMB technology support & solutions,",2004.0,5.0,$0,Chicago,Chicago Tech Support,123 W Madison St,1602,,USA,,IL,60602
Chicago Tribune,advertising,,,,$0,Chicago,,435 North Michigan,TT200,-87.623333,USA,41.890345,IL,60611-4041
Chicago.com,,,,,$0,Chicago,Downtown Chicago,875 North Michigan Avenue,,,USA,,IL,60611
Chicagoâ€™s Shakespeare Theater,,,,,$0,Chicago,,,800 East Grand Avenue on Navy Pier,-87.6161696,USA,41.8925085,IL,60611
Chitown Deals,ecommerce,Come Together. Save Now.,2009.0,8.0,$0,Chicago,Office,636 N Orleans Street,Suite 2S,,USA,,IL,60640
ChoiceStream,advertising,High Impact Programmatic Solutions,2001.0,50.0,$78.3M,Chicago,Chicago Sales Office,320 W. Ohio,#3W,,USA,,IL,60654
Choose Energy,cleantech,Energy marketplace,2008.0,15.0,$11.5M,Chicago,Chicago Office,222 Merchandise Mart Plaza,Suite 1212,,USA,,IL,60654
Chromatin,biotech,,,,$47.6M,Chicago,,3440 South Dearborn St.,Suite 280,,USA,,IL,60616
Ciboodle,software,Multi-channel Contact Center Software,2008.0,200.0,$0,Chicago,US Headquarters,125 S. Wacker,,,USA,,IL,
